tau_c	metric	value
20.0	fidelity1	0.7817521095
20.0	fidelity1	0.7784129977
20.0	fidelity1	0.7807039022
20.0	fidelity1	0.7816060781
20.0	fidelity1	0.7808839679
20.0	fidelity1	0.7710673213
20.0	fidelity1	0.7780309916
20.0	fidelity1	0.7814914584
20.0	fidelity1	0.7813217044
20.0	fidelity1	0.7761143446
20.0	fidelity1	0.7581741214
20.0	fidelity1	0.7790809870
20.0	fidelity1	0.7511857748
20.0	fidelity1	0.7779712677
20.0	fidelity1	0.7655655742
20.0	fidelity1	0.7810513973
20.0	fidelity1	0.7705538273
20.0	fidelity1	0.7815071940
20.0	fidelity1	0.7685761452
20.0	fidelity1	0.7774285078
20.0	fidelity1	0.7748913765
20.0	fidelity1	0.7790848613
20.0	fidelity1	0.7649687529
20.0	fidelity1	0.7814158201
20.0	fidelity1	0.7805646658
20.0	fidelity1	0.7812148333
20.0	fidelity1	0.7817427516
20.0	fidelity1	0.7737254500
20.0	fidelity1	0.7630126476
20.0	fidelity1	0.7790417075
20.0	fidelity1	0.7817572355
20.0	fidelity1	0.7761905193
20.0	fidelity1	0.7815651298
20.0	fidelity1	0.7815903425
20.0	fidelity1	0.7798848152
20.0	fidelity1	0.7737754583
20.0	fidelity1	0.7816079855
20.0	fidelity1	0.7802593708
20.0	fidelity1	0.7816612124
20.0	fidelity1	0.7806279659
20.0	fidelity1	0.7813663483
20.0	fidelity1	0.7816159129
20.0	fidelity1	0.7709057331
20.0	fidelity1	0.7716266513
20.0	fidelity1	0.7783336639
20.0	fidelity1	0.7807309628
20.0	fidelity1	0.7816609740
20.0	fidelity1	0.7651109099
20.0	fidelity1	0.7810859084
20.0	fidelity1	0.7731738091
20.0	fidelity1	0.7631620765
20.0	fidelity1	0.7744506598
20.0	fidelity1	0.7812167406
20.0	fidelity1	0.7727851272
20.0	fidelity1	0.7817395926
20.0	fidelity1	0.7817573547
20.0	fidelity1	0.7791282535
20.0	fidelity1	0.7817438841
20.0	fidelity1	0.7811808586
20.0	fidelity1	0.7709784508
20.0	fidelity1	0.7585172057
20.0	fidelity1	0.7814673781
20.0	fidelity1	0.7672051191
20.0	fidelity1	0.7815405726
20.0	fidelity1	0.7793744802
20.0	fidelity1	0.7748270035
20.0	fidelity1	0.7785032988
20.0	fidelity1	0.7817274928
20.0	fidelity1	0.7761459351
20.0	fidelity1	0.7755402327
20.0	fidelity1	0.7787784338
20.0	fidelity1	0.7816336155
20.0	fidelity1	0.7816569209
20.0	fidelity1	0.7814668417
20.0	fidelity1	0.7814878225
20.0	fidelity1	0.7814863920
20.0	fidelity1	0.7704404593
20.0	fidelity1	0.7571190596
20.0	fidelity1	0.7495416999
20.0	fidelity1	0.7802113295
20.0	fidelity1	0.7809014320
20.0	fidelity1	0.7778156996
20.0	fidelity1	0.7812336683
20.0	fidelity1	0.7810469866
20.0	fidelity1	0.7816848755
20.0	fidelity1	0.7678654194
20.0	fidelity1	0.7635388374
20.0	fidelity1	0.7810627818
20.0	fidelity1	0.7784956694
20.0	fidelity1	0.7756883502
20.0	fidelity1	0.7721252441
20.0	fidelity1	0.7760850191
20.0	fidelity1	0.7703427672
20.0	fidelity1	0.7779261470
20.0	fidelity1	0.7796388865
20.0	fidelity1	0.7731136084
20.0	fidelity1	0.7754219770
20.0	fidelity1	0.7814259529
20.0	fidelity1	0.7814784050
20.0	fidelity1	0.7817115784
20.0	trace_distance	0.3273766935
20.0	trace_distance	0.3349392116
20.0	trace_distance	0.3297697306
20.0	trace_distance	0.3277109265
20.0	trace_distance	0.3293596506
20.0	trace_distance	0.3510022759
20.0	trace_distance	0.3357931674
20.0	trace_distance	0.3279731870
20.0	trace_distance	0.3283612430
20.0	trace_distance	0.3400474191
20.0	trace_distance	0.3775482178
20.0	trace_distance	0.3334398270
20.0	trace_distance	0.3911845088
20.0	trace_distance	0.3359268308
20.0	trace_distance	0.3625679016
20.0	trace_distance	0.3289782405
20.0	trace_distance	0.3520978689
20.0	trace_distance	0.3279373348
20.0	trace_distance	0.3562860191
20.0	trace_distance	0.3371364474
20.0	trace_distance	0.3427340984
20.0	trace_distance	0.3334314823
20.0	trace_distance	0.3638003469
20.0	trace_distance	0.3281462193
20.0	trace_distance	0.3300860524
20.0	trace_distance	0.3286055923
20.0	trace_distance	0.3273983002
20.0	trace_distance	0.3452758789
20.0	trace_distance	0.3678109050
20.0	trace_distance	0.3335285187
20.0	trace_distance	0.3273648620
20.0	trace_distance	0.3398793936
20.0	trace_distance	0.3278048635
20.0	trace_distance	0.3277471662
20.0	trace_distance	0.3316271901
20.0	trace_distance	0.3451674879
20.0	trace_distance	0.3277068436
20.0	trace_distance	0.3307787478
20.0	trace_distance	0.3275848627
20.0	trace_distance	0.3299419880
20.0	trace_distance	0.3282593787
20.0	trace_distance	0.3276885152
20.0	trace_distance	0.3513475358
20.0	trace_distance	0.3498052359
20.0	trace_distance	0.3351168036
20.0	trace_distance	0.3297078013
20.0	trace_distance	0.3275856376
20.0	trace_distance	0.3635071516
20.0	trace_distance	0.3288997412
20.0	trace_distance	0.3464720845
20.0	trace_distance	0.3675061762
20.0	trace_distance	0.3436971307
20.0	trace_distance	0.3286011815
20.0	trace_distance	0.3473127484
20.0	trace_distance	0.3274055123
20.0	trace_distance	0.3273649812
20.0	trace_distance	0.3333338201
20.0	trace_distance	0.3273957074
20.0	trace_distance	0.3286825418
20.0	trace_distance	0.3511919379
20.0	trace_distance	0.3768659830
20.0	trace_distance	0.3280287087
20.0	trace_distance	0.3591600657
20.0	trace_distance	0.3278612196
20.0	trace_distance	0.3327791691
20.0	trace_distance	0.3428749740
20.0	trace_distance	0.3347368240
20.0	trace_distance	0.3274331093
20.0	trace_distance	0.3399775624
20.0	trace_distance	0.3413111567
20.0	trace_distance	0.3341198564
20.0	trace_distance	0.3276484609
20.0	trace_distance	0.3275948763
20.0	trace_distance	0.3280296624
20.0	trace_distance	0.3279815614
20.0	trace_distance	0.3279851675
20.0	trace_distance	0.3523395956
20.0	trace_distance	0.3796384931
20.0	trace_distance	0.3943236470
20.0	trace_distance	0.3308880627
20.0	trace_distance	0.3293197751
20.0	trace_distance	0.3362738490
20.0	trace_distance	0.3285623789
20.0	trace_distance	0.3289884925
20.0	trace_distance	0.3275305331
20.0	trace_distance	0.3577785790
20.0	trace_distance	0.3667362332
20.0	trace_distance	0.3289523125
20.0	trace_distance	0.3347542286
20.0	trace_distance	0.3409856558
20.0	trace_distance	0.3487346768
20.0	trace_distance	0.3401121795
20.0	trace_distance	0.3525471389
20.0	trace_distance	0.3360275030
20.0	trace_distance	0.3321829438
20.0	trace_distance	0.3466026187
20.0	trace_distance	0.3415709138
20.0	trace_distance	0.3281232715
20.0	trace_distance	0.3280034661
20.0	trace_distance	0.3274695277
40.0	fidelity1	0.7815002203
40.0	fidelity1	0.7799493670
40.0	fidelity1	0.7816240191
40.0	fidelity1	0.7817187309
40.0	fidelity1	0.7704841495
40.0	fidelity1	0.7814596891
40.0	fidelity1	0.7796677351
40.0	fidelity1	0.7801371813
40.0	fidelity1	0.7671273947
40.0	fidelity1	0.7817103267
40.0	fidelity1	0.7720456123
40.0	fidelity1	0.7813272476
40.0	fidelity1	0.7804366946
40.0	fidelity1	0.7696961164
40.0	fidelity1	0.7771949172
40.0	fidelity1	0.7805596590
40.0	fidelity1	0.7535876632
40.0	fidelity1	0.7664882541
40.0	fidelity1	0.7803207636
40.0	fidelity1	0.7815498114
40.0	fidelity1	0.7717390060
40.0	fidelity1	0.7817535400
40.0	fidelity1	0.7776609659
40.0	fidelity1	0.7810399532
40.0	fidelity1	0.7763690352
40.0	fidelity1	0.7807703018
40.0	fidelity1	0.7673727870
40.0	fidelity1	0.7816151381
40.0	fidelity1	0.7770975828
40.0	fidelity1	0.7775064707
40.0	fidelity1	0.7780882716
40.0	fidelity1	0.7735545039
40.0	fidelity1	0.7814602852
40.0	fidelity1	0.7794589996
40.0	fidelity1	0.7789193988
40.0	fidelity1	0.7809559703
40.0	fidelity1	0.7793995738
40.0	fidelity1	0.7397210598
40.0	fidelity1	0.7802252769
40.0	fidelity1	0.7815784812
40.0	fidelity1	0.7740038633
40.0	fidelity1	0.7743248940
40.0	fidelity1	0.7806246281
40.0	fidelity1	0.7799226642
40.0	fidelity1	0.7816581726
40.0	fidelity1	0.7816227674
40.0	fidelity1	0.7706885338
40.0	fidelity1	0.7776517868
40.0	fidelity1	0.7810611725
40.0	fidelity1	0.7783786058
40.0	fidelity1	0.7745663524
40.0	fidelity1	0.7778888941
40.0	fidelity1	0.7718469501
40.0	fidelity1	0.7734607458
40.0	fidelity1	0.7799915075
40.0	fidelity1	0.7744085789
40.0	fidelity1	0.7722343206
40.0	fidelity1	0.7783781886
40.0	fidelity1	0.7747925520
40.0	fidelity1	0.7792690992
40.0	fidelity1	0.7791624069
40.0	fidelity1	0.7817518115
40.0	fidelity1	0.7764844894
40.0	fidelity1	0.7814577818
40.0	fidelity1	0.7807531357
40.0	fidelity1	0.7805292010
40.0	fidelity1	0.7817382216
40.0	fidelity1	0.7768444419
40.0	fidelity1	0.7789534330
40.0	fidelity1	0.7696857452
40.0	fidelity1	0.7661538124
40.0	fidelity1	0.7809274197
40.0	fidelity1	0.7724084854
40.0	fidelity1	0.7764863968
40.0	fidelity1	0.7754292488
40.0	fidelity1	0.7777277827
40.0	fidelity1	0.7788368464
40.0	fidelity1	0.7742111087
40.0	fidelity1	0.7784621716
40.0	fidelity1	0.7809966803
40.0	fidelity1	0.7803963423
40.0	fidelity1	0.7816929817
40.0	fidelity1	0.7661833763
40.0	fidelity1	0.7734359503
40.0	fidelity1	0.7746140957
40.0	fidelity1	0.7812966108
40.0	fidelity1	0.7804747820
40.0	fidelity1	0.7705833316
40.0	fidelity1	0.7816373706
40.0	fidelity1	0.7812640667
40.0	fidelity1	0.7725269198
40.0	fidelity1	0.7815828323
40.0	fidelity1	0.7815345526
40.0	fidelity1	0.7817496061
40.0	fidelity1	0.7809108496
40.0	fidelity1	0.7815927267
40.0	fidelity1	0.7815973163
40.0	fidelity1	0.7684093714
40.0	fidelity1	0.7815893888
40.0	fidelity1	0.7815501690
40.0	trace_distance	0.3279534876
40.0	trace_distance	0.3314813375
40.0	trace_distance	0.3276701570
40.0	trace_distance	0.3274529576
40.0	trace_distance	0.3522464037
40.0	trace_distance	0.3280460835
40.0	trace_distance	0.3321176469
40.0	trace_distance	0.3310558498
40.0	trace_distance	0.3593224287
40.0	trace_distance	0.3274726868
40.0	trace_distance	0.3489059508
40.0	trace_distance	0.3283485174
40.0	trace_distance	0.3303767443
40.0	trace_distance	0.3539203405
40.0	trace_distance	0.3376555443
40.0	trace_distance	0.3300974965
40.0	trace_distance	0.3865517378
40.0	trace_distance	0.3606542349
40.0	trace_distance	0.3306396902
40.0	trace_distance	0.3278402090
40.0	trace_distance	0.3495641351
40.0	trace_distance	0.3273736238
40.0	trace_distance	0.3366190493
40.0	trace_distance	0.3290042281
40.0	trace_distance	0.3394849896
40.0	trace_distance	0.3296182752
40.0	trace_distance	0.3588100970
40.0	trace_distance	0.3276903331
40.0	trace_distance	0.3378718793
40.0	trace_distance	0.3369628191
40.0	trace_distance	0.3356654644
40.0	trace_distance	0.3456474841
40.0	trace_distance	0.3280449510
40.0	trace_distance	0.3325884640
40.0	trace_distance	0.3338030875
40.0	trace_distance	0.3291955292
40.0	trace_distance	0.3327229023
40.0	trace_distance	0.4125799835
40.0	trace_distance	0.3308556974
40.0	trace_distance	0.3277744651
40.0	trace_distance	0.3446705639
40.0	trace_distance	0.3439714909
40.0	trace_distance	0.3299496770
40.0	trace_distance	0.3315413296
40.0	trace_distance	0.3275923133
40.0	trace_distance	0.3276730776
40.0	trace_distance	0.3518110812
40.0	trace_distance	0.3366392553
40.0	trace_distance	0.3289560676
40.0	trace_distance	0.3350161314
40.0	trace_distance	0.3434449434
40.0	trace_distance	0.3361106813
40.0	trace_distance	0.3493330479
40.0	trace_distance	0.3458506763
40.0	trace_distance	0.3313858509
40.0	trace_distance	0.3437889814
40.0	trace_distance	0.3484999239
40.0	trace_distance	0.3350171447
40.0	trace_distance	0.3429505229
40.0	trace_distance	0.3330165744
40.0	trace_distance	0.3332568109
40.0	trace_distance	0.3273776770
40.0	trace_distance	0.3392301202
40.0	trace_distance	0.3280503452
40.0	trace_distance	0.3296576738
40.0	trace_distance	0.3301666677
40.0	trace_distance	0.3274085522
40.0	trace_distance	0.3384332955
40.0	trace_distance	0.3337269425
40.0	trace_distance	0.3539421558
40.0	trace_distance	0.3613486290
40.0	trace_distance	0.3292607367
40.0	trace_distance	0.3481251001
40.0	trace_distance	0.3392258584
40.0	trace_distance	0.3415552378
40.0	trace_distance	0.3364699483
40.0	trace_distance	0.3339888453
40.0	trace_distance	0.3442195952
40.0	trace_distance	0.3348288834
40.0	trace_distance	0.3291030228
40.0	trace_distance	0.3304684162
40.0	trace_distance	0.3275121152
40.0	trace_distance	0.3612874746
40.0	trace_distance	0.3459045291
40.0	trace_distance	0.3433403373
40.0	trace_distance	0.3284186721
40.0	trace_distance	0.3302903175
40.0	trace_distance	0.3520351648
40.0	trace_distance	0.3276396990
40.0	trace_distance	0.3284928799
40.0	trace_distance	0.3478699327
40.0	trace_distance	0.3277640939
40.0	trace_distance	0.3278749585
40.0	trace_distance	0.3273826241
40.0	trace_distance	0.3292982876
40.0	trace_distance	0.3277419806
40.0	trace_distance	0.3277312815
40.0	trace_distance	0.3566366434
40.0	trace_distance	0.3277497292
