label	tau_c	m	mean_survival	std	sem	n_samples
tau20	20.0	64	0.8791439629594485	0.07231889120119224	0.00417533313025036	300
tau20	20.0	256	0.679496326794227	0.15201646782428183	0.008776674861960519	300
tau20	20.0	1024	0.5148829549551011	0.09822208157072986	0.005670854523522626	300
tau40	40.0	64	0.8836974007884661	0.06797297683153485	0.003924421647130683	300
tau40	40.0	256	0.7054777974883716	0.1438291398640386	0.008303979261781502	300
tau40	40.0	1024	0.5165840208530426	0.09999571643955953	0.005773255380418917	300
tau60	60.0	64	0.8855352715651195	0.06353631572784936	0.003668270898879088	300
tau60	60.0	256	0.7007547048727671	0.13794990139275404	0.007964541270378886	300
tau60	60.0	1024	0.522155355612437	0.0953526404287566	0.005505187261948421	300
tau80	80.0	64	0.8876900281508764	0.06275224308405898	0.0036230024436834283	300
tau80	80.0	256	0.7141966726879279	0.13558897422518346	0.00782823307680549	300
tau80	80.0	1024	0.5113410661617915	0.1002342723987374	0.005787028415143731	300
tau120	120.0	64	0.8931928798556328	0.06210399986039071	0.003585576103714905	300
tau120	120.0	256	0.7305921425422033	0.11863454637383809	0.006849368728412456	300
tau120	120.0	1024	0.5218676455815633	0.09710724151299938	0.005606489202779219	300
tau200	200.0	64	0.8924831199645996	0.06279140268495526	0.0036252633242953103	300
tau200	200.0	256	0.7082071074843407	0.1356390434149711	0.00783112382282569	300
tau200	200.0	1024	0.5200167636076609	0.09389797864645115	0.00542120232478903	300
tau400	400.0	64	0.8969164450963338	0.07461971591925502	0.004308171307283529	300
tau400	400.0	256	0.7260247357189655	0.1337624772994306	0.007722780227629746	300
tau400	400.0	1024	0.5205539105335871	0.10216076778734369	0.005898254678264173	300
tau800	800.0	64	0.8935062575340271	0.08917475800654234	0.005148507053999695	300
tau800	800.0	256	0.7398278800149759	0.1294238338562668	0.007472288531646902	300
tau800	800.0	1024	0.530419495900472	0.09980342274177442	0.005762153298600948	300
tau1200	1200.0	64	0.8952564530074596	0.09631199490760914	0.0055605756186097996	300
tau1200	1200.0	256	0.7352667765319347	0.1454384737237441	0.008396894195493197	300
tau1200	1200.0	1024	0.52868706792593	0.09536834407370456	0.005506093912312217	300
tau2400	2400.0	64	0.8952681528031826	0.09620772453768929	0.005554555565995627	300
tau2400	2400.0	256	0.749436470468839	0.14883074595137755	0.008592747123872061	300
tau2400	2400.0	1024	0.5296876560648283	0.0948247336749872	0.005474708551308842	300
tau5000	5000.0	64	0.8952681528031826	0.09620772453768929	0.005554555565995627	300
tau5000	5000.0	256	0.767536710202694	0.15106191584004952	0.008721563777455317	300
tau5000	5000.0	1024	0.5508467302719752	0.09049632760469804	0.005224807910324497	300
tau8000	8000.0	64	0.8952681528031826	0.09620772453768929	0.005554555565995627	300
tau8000	8000.0	256	0.767536710202694	0.15106191584004952	0.008721563777455317	300
tau8000	8000.0	1024	0.5633678076664607	0.09526484075624389	0.005500118145492424	300
tau20000	20000.0	64	0.8952681528031826	0.09620772453768929	0.005554555565995627	300
tau20000	20000.0	256	0.767536710202694	0.15106191584004952	0.008721563777455317	300
tau20000	20000.0	1024	0.5838124076525371	0.0937113050335246	0.005410424718721655	300
tau40000	40000.0	64	0.8952681528031826	0.09620772453768929	0.005554555565995627	300
tau40000	40000.0	256	0.767536710202694	0.15106191584004952	0.008721563777455317	300
tau40000	40000.0	1024	0.5838124076525371	0.0937113050335246	0.005410424718721655	300
