label	tau_c	A	p	B	EPC	F_avg	RMSE	max_abs_residual
tau20	20.0	0.4999999998550785	0.9958526533981009	0.5	0.002073673300949541	0.9979263266990505	0.0064715479641722995	0.007791474663492615
tau40	40.0	0.49999999966993397	0.9962063178787797	0.5	0.001896841060610166	0.9981031589393898	0.011296355647992137	0.01650962085871377
tau60	60.0	0.4999999996782734	0.9962183737340462	0.5	0.0018908131329768985	0.9981091868670231	0.010191664572191155	0.011827111051382122
tau80	80.0	0.49999999964926195	0.9963420872613241	0.5	0.0018289563693378863	0.9981710436306621	0.011599420642436941	0.018519628421453938
tau120	120.0	0.4999999994585443	0.9966868146297484	0.5	0.0016565926851257462	0.9983434073148743	0.012007122919299342	0.016795680593424844
tau200	200.0	0.4999999997461546	0.9964281380035067	0.5	0.0017859309982466431	0.9982140690017534	0.006957406051077332	0.008155678518588227
tau400	400.0	0.4999999997219096	0.9967171127906023	0.5	0.0016414436046988667	0.9983585563953011	0.007949056499687449	0.010558020247817934
tau800	800.0	0.49999999955553615	0.9969478463131812	0.5	0.0015260768434093297	0.9984739231565907	0.013044318504289639	0.017649269039229587
tau1200	1200.0	0.49999999967115655	0.9969109291405744	0.5	0.001544535429712779	0.9984554645702872	0.010935212612383768	0.014925798571588711
tau2400	2400.0	0.49999999959677505	0.9970560789983653	0.5	0.0014719605008173264	0.9985280394991827	0.01397631134308952	0.018753914280919104
tau5000	5000.0	0.4999999992785633	0.9974520448606701	0.5	0.0012739775696649636	0.998726022430335	0.019316052041170446	0.029409691502343294
tau8000	8000.0	0.49999999913607285	0.9975802918002621	0.5	0.0012098540998689566	0.998790145900131	0.022723225868006618	0.032918459030964464
tau20000	20000.0	0.49999999882347496	0.997841866239422	0.5	0.0010790668802890258	0.998920933119711	0.030883366147530986	0.04016368937534687
tau40000	40000.0	0.49999999882347496	0.997841866239422	0.5	0.0010790668802890258	0.998920933119711	0.030883366147530986	0.04016368937534687
