Fig.2 RB tau sweep report
run_dir: /home/zhuhongxiang/cirq_project/results/paper_2026/paper_fig3_rb_tau_sweep/rb_tau_20260721-045718

m=64: min=(tau_c=20, mean=0.8791439630), max=(tau_c=400, mean=0.8969164451), dynamic_range=0.0177724821
m=256: min=(tau_c=20, mean=0.6794963268), max=(tau_c=5000, mean=0.7675367102), dynamic_range=0.0880403834
m=1024: min=(tau_c=80, mean=0.5113410662), max=(tau_c=20000, mean=0.5838124077), dynamic_range=0.0724713415

Per-point table
label | tau_c | m | mean_survival | obs_sem
------------------------------------------------------------------------------------------
     tau20 |      20 |   64 | 0.8791439630 | 0.0041753331
     tau40 |      40 |   64 | 0.8836974008 | 0.0039244216
     tau60 |      60 |   64 | 0.8855352716 | 0.0036682709
     tau80 |      80 |   64 | 0.8876900282 | 0.0036230024
    tau120 |     120 |   64 | 0.8931928799 | 0.0035855761
    tau200 |     200 |   64 | 0.8924831200 | 0.0036252633
    tau400 |     400 |   64 | 0.8969164451 | 0.0043081713
    tau800 |     800 |   64 | 0.8935062575 | 0.0051485071
   tau1200 |    1200 |   64 | 0.8952564530 | 0.0055605756
   tau2400 |    2400 |   64 | 0.8952681528 | 0.0055545556
   tau5000 |    5000 |   64 | 0.8952681528 | 0.0055545556
   tau8000 |    8000 |   64 | 0.8952681528 | 0.0055545556
  tau20000 |   20000 |   64 | 0.8952681528 | 0.0055545556
  tau40000 |   40000 |   64 | 0.8952681528 | 0.0055545556
     tau20 |      20 |  256 | 0.6794963268 | 0.0087766749
     tau40 |      40 |  256 | 0.7054777975 | 0.0083039793
     tau60 |      60 |  256 | 0.7007547049 | 0.0079645413
     tau80 |      80 |  256 | 0.7141966727 | 0.0078282331
    tau120 |     120 |  256 | 0.7305921425 | 0.0068493687
    tau200 |     200 |  256 | 0.7082071075 | 0.0078311238
    tau400 |     400 |  256 | 0.7260247357 | 0.0077227802
    tau800 |     800 |  256 | 0.7398278800 | 0.0074722885
   tau1200 |    1200 |  256 | 0.7352667765 | 0.0083968942
   tau2400 |    2400 |  256 | 0.7494364705 | 0.0085927471
   tau5000 |    5000 |  256 | 0.7675367102 | 0.0087215638
   tau8000 |    8000 |  256 | 0.7675367102 | 0.0087215638
  tau20000 |   20000 |  256 | 0.7675367102 | 0.0087215638
  tau40000 |   40000 |  256 | 0.7675367102 | 0.0087215638
     tau20 |      20 | 1024 | 0.5148829550 | 0.0056708545
     tau40 |      40 | 1024 | 0.5165840209 | 0.0057732554
     tau60 |      60 | 1024 | 0.5221553556 | 0.0055051873
     tau80 |      80 | 1024 | 0.5113410662 | 0.0057870284
    tau120 |     120 | 1024 | 0.5218676456 | 0.0056064892
    tau200 |     200 | 1024 | 0.5200167636 | 0.0054212023
    tau400 |     400 | 1024 | 0.5205539105 | 0.0058982547
    tau800 |     800 | 1024 | 0.5304194959 | 0.0057621533
   tau1200 |    1200 | 1024 | 0.5286870679 | 0.0055060939
   tau2400 |    2400 | 1024 | 0.5296876561 | 0.0054747086
   tau5000 |    5000 | 1024 | 0.5508467303 | 0.0052248079
   tau8000 |    8000 | 1024 | 0.5633678077 | 0.0055001181
  tau20000 |   20000 | 1024 | 0.5838124077 | 0.0054104247
  tau40000 |   40000 | 1024 | 0.5838124077 | 0.0054104247
