label	tau_c	A	p	B	EPC	F_avg	RMSE	max_abs_residual
tau20	20.0	0.49999995365499544	0.9947515805949336	0.5	0.0026242097025331867	0.9973757902974668	0.02749815220452917	0.055740357776197125
tau40	40.0	0.49999994063798486	0.9951709960053474	0.5	0.0024145019973262905	0.9975854980026737	0.02898453767550931	0.06842406463210482
tau60	60.0	0.49999994541715564	0.9954630712806068	0.5	0.0022684643596966314	0.9977315356403034	0.025863054389859173	0.0506931358807845
tau80	80.0	0.4999999467814912	0.99568996358717	0.5	0.0021550182064149492	0.997844981793585	0.02194855436658384	0.037343131848107
tau120	120.0	0.4999999348600489	0.9958815700231861	0.5	0.0020592149884068878	0.9979407850115931	0.026076248490790918	0.05274329482363871
tau200	200.0	0.4999999366670524	0.9959232395845329	0.5	0.0020383802077335034	0.9979616197922665	0.025922292924369584	0.054974781702672226
tau400	400.0	0.4999999352362054	0.9961071596993982	0.5	0.0019464201503008871	0.9980535798496991	0.023727724135417898	0.04854173664461703
tau800	800.0	0.4999999330927992	0.9961702811330891	0.5	0.0019148594334554847	0.9980851405665445	0.028638883542074396	0.06646746097388068
tau1200	1200.0	0.4999999321967294	0.9961976607446087	0.5	0.001901169627695598	0.9980988303723044	0.027760500248703936	0.05541029992389057
tau2400	2400.0	0.49999993088416667	0.9962296443571318	0.5	0.0018851778214341586	0.9981148221785658	0.03292178057818386	0.07767183331788974
tau5000	5000.0	0.49999992905804796	0.9962761115311815	0.5	0.0018619442344092185	0.9981380557655908	0.0372605411452574	0.07240378511678791
tau8000	8000.0	0.4999999226568477	0.9964401573551007	0.5	0.0017799213224496402	0.9982200786775504	0.04033424327771968	0.08826908823612445
tau20000	20000.0	0.49999991944821803	0.9965207918855542	0.5	0.0017396040572228433	0.9982603959427772	0.04333284272075111	0.0837642410013012
tau40000	40000.0	0.49999991944821803	0.9965207918855542	0.5	0.0017396040572228433	0.9982603959427772	0.04333284272075111	0.0837642410013012
