label	tau_c	m	is_reused	source_tau_c	source_tau_idx
tau20	20.0	2	False	None	None
tau20	20.0	4	False	None	None
tau20	20.0	8	False	None	None
tau20	20.0	12	False	None	None
tau20	20.0	16	False	None	None
tau20	20.0	24	False	None	None
tau20	20.0	32	False	None	None
tau20	20.0	48	False	None	None
tau20	20.0	64	False	None	None
tau20	20.0	96	False	None	None
tau20	20.0	128	False	None	None
tau20	20.0	192	False	None	None
tau20	20.0	256	False	None	None
tau20	20.0	384	False	None	None
tau20	20.0	512	False	None	None
tau20	20.0	768	False	None	None
tau20	20.0	1024	False	None	None
tau40	40.0	2	False	None	None
tau40	40.0	4	False	None	None
tau40	40.0	8	False	None	None
tau40	40.0	12	False	None	None
tau40	40.0	16	False	None	None
tau40	40.0	24	False	None	None
tau40	40.0	32	False	None	None
tau40	40.0	48	False	None	None
tau40	40.0	64	False	None	None
tau40	40.0	96	False	None	None
tau40	40.0	128	False	None	None
tau40	40.0	192	False	None	None
tau40	40.0	256	False	None	None
tau40	40.0	384	False	None	None
tau40	40.0	512	False	None	None
tau40	40.0	768	False	None	None
tau40	40.0	1024	False	None	None
tau60	60.0	2	False	None	None
tau60	60.0	4	False	None	None
tau60	60.0	8	False	None	None
tau60	60.0	12	False	None	None
tau60	60.0	16	False	None	None
tau60	60.0	24	False	None	None
tau60	60.0	32	False	None	None
tau60	60.0	48	False	None	None
tau60	60.0	64	False	None	None
tau60	60.0	96	False	None	None
tau60	60.0	128	False	None	None
tau60	60.0	192	False	None	None
tau60	60.0	256	False	None	None
tau60	60.0	384	False	None	None
tau60	60.0	512	False	None	None
tau60	60.0	768	False	None	None
tau60	60.0	1024	False	None	None
tau80	80.0	2	False	None	None
tau80	80.0	4	False	None	None
tau80	80.0	8	False	None	None
tau80	80.0	12	False	None	None
tau80	80.0	16	False	None	None
tau80	80.0	24	False	None	None
tau80	80.0	32	False	None	None
tau80	80.0	48	False	None	None
tau80	80.0	64	False	None	None
tau80	80.0	96	False	None	None
tau80	80.0	128	False	None	None
tau80	80.0	192	False	None	None
tau80	80.0	256	False	None	None
tau80	80.0	384	False	None	None
tau80	80.0	512	False	None	None
tau80	80.0	768	False	None	None
tau80	80.0	1024	False	None	None
tau120	120.0	2	False	None	None
tau120	120.0	4	False	None	None
tau120	120.0	8	False	None	None
tau120	120.0	12	False	None	None
tau120	120.0	16	False	None	None
tau120	120.0	24	False	None	None
tau120	120.0	32	False	None	None
tau120	120.0	48	False	None	None
tau120	120.0	64	False	None	None
tau120	120.0	96	False	None	None
tau120	120.0	128	False	None	None
tau120	120.0	192	False	None	None
tau120	120.0	256	False	None	None
tau120	120.0	384	False	None	None
tau120	120.0	512	False	None	None
tau120	120.0	768	False	None	None
tau120	120.0	1024	False	None	None
tau200	200.0	2	False	None	None
tau200	200.0	4	False	None	None
tau200	200.0	8	False	None	None
tau200	200.0	12	False	None	None
tau200	200.0	16	False	None	None
tau200	200.0	24	False	None	None
tau200	200.0	32	False	None	None
tau200	200.0	48	False	None	None
tau200	200.0	64	False	None	None
tau200	200.0	96	False	None	None
tau200	200.0	128	False	None	None
tau200	200.0	192	False	None	None
tau200	200.0	256	False	None	None
tau200	200.0	384	False	None	None
tau200	200.0	512	False	None	None
tau200	200.0	768	False	None	None
tau200	200.0	1024	False	None	None
tau400	400.0	2	True	200.0	5
tau400	400.0	4	False	None	None
tau400	400.0	8	False	None	None
tau400	400.0	12	False	None	None
tau400	400.0	16	False	None	None
tau400	400.0	24	False	None	None
